ar_	ir_	0.00280414150129
hio	hiö	0.00117370892019
ig	yg	0.0045643153527
	ka	0.000590109760415
r	yr	0.000599828620394
sku	sky	0.0029926335175
al	æl	0.0208333333333
_fu	fu	0.0011568718186
mi	my	0.00465313028765
lla	lli	0.00613079019074
k	kk	0.00539233915954
aff	ap	0.00116604477612
x	g	0.0174180327869
ke		0.00356576862124
mæl	mil	0.00480109739369
ani	ænd	0.00115101289134
els	als	0.00117591721543
d	ss_	0.00190920661858
ier	iær	0.0025641025641
bai	be	0.00117260787992
_mæ	_mi	0.00736278447122
na_	næ_	0.00108318890815
gh_	_	0.00245316681534
lag	læg	0.00288248337029
dm	þm	0.00518378887842
gg		0.00309187279152
elg	ælg	0.0030487804878
æl	ell	0.00173370319001
ant	att	0.00256649556696
ytt	ött	0.00116986429574
a	af	0.00173082248685
_ar	_ær	0.00572082379863
okk	ukk	0.003981264637
e_	æ_	0.00442176870748
ærþ	erþ	0.00116063138347
r_	m_	0.00182845744681
orþ	urþ	0.0016077170418
i_	um_	0.00238600212089
ig		0.00373443983402
_op	_up	0.00529953917051
rhe	rhæ	0.0011786892975
spi	sp	0.00115526802218
_ma	ma	0.00870858113849
_br	r	0.00110180696342
uk	ok	0.0131698455949
ote	ute	0.00300786672837
s_s	_s	0.00299953853253
t_	þ_	0.00155666251557
_om	_um	0.00304307116105
_ma	zma	0.00276125743415
öd	yd	0.00228519195612
fa	fe	0.0020325203252
ba		0.00456053067993
_ap	_af	0.00303454715219
o	u_	0.00304754164974
_	i_	0.00235190737103
ar	erf	0.00139664804469
i_	om_	0.00238600212089
æ	ia	0.00336402266289
agg	ag	0.00117041198502
yl	ul	0.00921052631579
g	 135 0.0424100156495
