fur_þing..e.1	forþing..nn.1
fyli..e.1	fuli..nn.1
fynder..e.1	funder..nn.1
fyra..e.1	föra..vb.1
fyrnæmder..e.1	fornæmder..av.1
fyrster..e.1	fyrri..av.1
fyske..e.1	fiskia..vb.1
fæganger..e.1	fær_ganger..nn.1
fæmnatta_tak..e.1	tak..nn.1
fængilse..e.1	fangilse..nn.1
færd..e.1	færþ..nn.1
færma..e.1	ferma..vb.1
fæt..e.1	fiæt..nn.1
fæþur..e.1	faþir..nn.1
föl..e.1	fyl..nn.1
före_se..e.1	fore_sea..vb.1
förstonne..e.1	fyrstunni..ab.1
gait..e.1	get..nn.1
gangæ_klæthe..e.1	gangklæþi..nn.1
gar..e.1	göra..vb.1
garra..e.1	göra..vb.1
garþa_lös..e.1	garþlös..av.1
gera..e.1	göra..vb.1
gesl..e.1	gisl..nn.1
getzla..e.1	gætsla..nn.1
geva..e.1	giva..vb.1
gif..e.1	gæf..nn.1
giftomal..e.1	giftar_mal..nn.1
giara..e.1	göra..vb.1
giefa..e.1	giva..vb.1
gior..e.1	gör..av.1
giora..e.1	göra..vb.1
golf..e.1	gulf..nn.1
gressæti..e.1	græssæti..nn.1
grid..e.1	griþ..nn.1
grift..e.1	gript..nn.1
græva..e.1	grava..vb.1
gyþa..e.1	göþa..vb.1
gæra..e.1	göra..vb.1
gærþer..e.1	garþer..nn.1
gæva..e.1	giva..vb.1
gödning..e.1	göþning..nn.1
gönum..e.1	ginum..pp.1
göz..e.1	goþs..nn.1
hafa..e.1	hava..vb.1
haft..e.1	hapt..nn.1
haftisi..e.1	hæftilse..nn.1
haiþin..e.1	heþin..av.1
halffemti..e.1	halver..av.1
halftninger..e.1	hælfninger..nn.1
halninger..e.1	hælfninger..nn.1
hampn..e.1	hamn..nn.1
handalös..e.1	handlös..av.1
handa_virke..e.1	handvirki..nn.1
hardeliga..e.1	harþlika..ab.1
hasskaper..e.1	hæskaper..nn.1
hazsla..e.1	hæþsla..nn.1
haþ..e.1	hat..nn.1
heder..e.1	heþer..nn.1
hedin..e.1	heþin..av.1
hefnd..e.1	hæmd..nn.1
heimul..e.1	hemul..av.1
hemelika..e.1	hemulika..ab.1
hemfödder..e.1	hema_föder..av.1
hemiliker..e.1	hemeliker..av.1
hemult..e.1	hemuld..nn.1
herþingi..e.1	hirþingi..nn.1
heye..e.1	hægha..vb.1
higat..e.1	hingat..ab.1
hiskeper..e.1	hæskaper..nn.1
hialp..e.1	hiælp..nn.1
hiaul..e.1	hiul..nn.1
hieldu..e.1	halda..vb.1
hielp..e.1	hiælp..nn.1
hiog..e.1	hugga..vb.1
hiolt..e.1	halda..vb.1
hiorþalöt..e.1	hiorþlöt..nn.1
hofda..e.1	hofþa..vb.1
hofdabolster..e.1	hufþabulster..nn.1
hofþoduker..e.1	hovuþduker..nn.1
holde..e.1	halda..vb.1
horo..e.1	huru..ab.1
hudh..e.1	huþ..nn.1
hulkalund..e.1	hvilka_lund..ab.1
hundsima..e.1	hyndsima..nn.1
hurvit..e.1	hvarva..nn.1
huskaper..e.1	hæskaper..nn.1
huvuþ..e.1	hovoþ..nn.1
hvadan..e.1	hvaþan..ab.1
hvat_köns..e.1	hværskyns..av.1
hvæden..e.1	hvaþan..ab.1
hædhæn..e.1	hæþan..ab.1
hælaghdom..e.1	hælghidomber..nn.1
helghadagha_brut..e.1	hælghudagha_brut..nn.1
hælghadaghar..e.1	hælghidagher..nn.1
hælgþ..e.1	hælgh..nn.1
hælst..e.1	hælder..ab.1
hælt..e.1	halda..vb.1
hæmiliker..e.1	hemeliker..av.1
hæmolika..e.1	hemulika..ab.1
hænta..e.1	hæmta..vb.1
hærskaper..e.1	hæskaper..nn.1
hæræþ..e.1	hæraþ..nn.1
hæþin..e.1	heþin..av.1
höfþa..e.1	hofþa..vb.1
hölia..e.1	hylia..vb.1
hördinge..e.1	hirþingi..nn.1
hövaþer..e.1	hovaþer..av.1
hövitzman..e.1	hovoþs_maþer..nn.1
hözunnudagher..e.1	kötsunnudagher..nn.1
igh..e.1	eigh..ab.1
incighli..e.1	insighli..nn.1
insamin..e.1	ensamin..av.1
invid..e.1	inviþer..nn.1
ivi..e.1	ivir..pp.1
ithæligæ..e.1	idhelika..ab.1
jafliker..e.1	jæfliker..av.1
jaghæ..e.1	jægha..vb.1
jamskylder..e.1	jamnskylder..av.1
jaul..e.1	jul..nn.1
java..e.1	jæva..vb.1
jaþur..e.1	jæþer..nn.1
jefa..e.1	jæva..vb.1
jerl..e.1	jarl..nn.1
jeta..e.1	æta..vb.1
jomfru..e.1	jumfru..nn.1
ju..e.1	jo..ab.1
jurþriki..e.1	jorþriki..nn.1
jærn..e.1	jarn..nn.1
jætta..e.1	jatta..vb.1
jættir..e.1	æta..vb.1
kalva..e.1	kælva..vb.1
kaup..e.1	köp..nn.1
kaxna_vargher..e.1	kasna_vargher..nn.1
kidlinger..e.1	kiþlinger..nn.1
kiverne..e.1	köværne..nn.1
kialki..e.1	kælke..nn.1
kiortel..e.1	kiurtil..nn.1
klapper..e.1	klæpper..nn.1
kliaufa..e.1	klyva..vb.1
klivia..e.1	klyvia..vb.1
klukka..e.1	klokka..nn.1
klænaþ..e.1	klenat..nn.1
klærker..e.1	klerker..nn.1
klævi..e.1	klavi..nn.1
klöster..e.1	kloster..nn.1
kna..e.1	knæ..nn.1
kne..e.1	knæ..nn.1
kni..e.1	knæ..nn.1
copitinda..e.1	korn_tiundi..nn.1
krapter..e.1	krafter..nn.1
kreifia..e.1	krævia..vb.1
kross..e.1	kors..nn.1
krænkas..e.1	krankas..vb.1
kun..e.1	kyn..nn.1
konungsliker..e.1	kunungliker..av.1
kunungs_soknari..e.1	soknari..nn.1
kupar..e.1	kopar..nn.1
kurtil..e.1	kiurtil..nn.1
kyrkia..e.1	kirkia..nn.1
kyt..e.1	kiþ..nn.1
kyvæ..e.1	kiva..vb.1
kyverne..e.1	köværne..nn.1
kæpsir..e.1	kæfsir..nn.1
kölve..e.1	kylve..nn.1
kön..e.1	kyn..nn.1
köpa_vitni..e.1	köpvitni..nn.1
köpe_iorþ..e.1	köpo_iorþ..nn.1
köpenskatter..e.1	köpskatter..nn.1
köpi_iorþ..e.1	köpo_iorþ..nn.1
köpo_funder..e.1	koppofunder..nn.1
köpskaper..e.1	köpenskaper..nn.1
laghagingærdh..e.1	gengærþ..nn.1
laghagæld..e.1	laghgæld..nn.1
laghat..e.1	læggia..nn.1
laghaþing..e.1	laghþing..nn.1
laghbötir..e.1	laghabötir..nn.1
laghdagh..e.1	lagha_dagher..nn.1
lagh_gærþ..e.1	laghagærþ..nn.1
lagh_klad..e.1	laghakland..nn.1
laghlös..e.1	lagha_lös..av.1
laghman..e.1	laghmaþer..nn.1
laghskillinger..e.1	lagha_skillinger..nn.1
lanzsagha..e.1	laghsagha..nn.1
lands_skyld..e.1	landskyld..nn.1
lea..e.1	læa..vb.1
